p1,gamma1,gamma2,gamma3,raggio,massa,ρ0,Λns,cc
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,16.506987911918156,0.19403022031158682,300000000000000.0,4533160.148985037,0.017361748088505446
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,16.490841245430502,0.1942909191191143,300247849540749.4,5745352.34478182,0.01740209755295764
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,16.378900868976984,0.196122375863525,301982796325995.06,5738729.84007397,0.01768619048933874
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,16.094219935594683,0.20113537385650357,306691937600233.25,4495638.027510078,0.018459096157291553
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,15.600539320602163,0.2110477462575637,315862370607960.3,3773654.5248794933,0.019981726637964336
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,14.932900813630798,0.22783337909943138,330981192593672.56,2489298.295922203,0.022535389973902
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,14.178872378648867,0.25375570518125967,353535500801866.1,1607117.5373568013,0.026434191305980688
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,13.439769697571599,0.2914653778799879,385012392477037.44,820747.796086404,0.03203222114353538
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,12.798091131868576,0.34385533331948487,426898964863682.75,389910.0299072193,0.03968464260073159
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,12.287713970385086,0.4137428121370796,480682315206298.25,191769.4509132467,0.04973375784952664
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,11.88100138808082,0.5079667592934698,547849540749380.4,56340.449611339274,0.06315011617763544
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,11.576217117381944,0.6297349974763072,629887738737425.2,18758.075163335714,0.08034948051034985
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,11.36666528234064,0.7765118181657156,728284006414929.2,6139.071207227943,0.10090365677356594
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,11.191241002712427,0.9430454058215308,844525441026388.8,1332.0839460053362,0.12446471881049104
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,11.01720221366009,1.1198230129074247,980099139816299.6,667.1276630858622,0.15013086071893936
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,10.763629656265964,1.3641755235606159,1136492200029159.0,190.56966861125977,0.1871989521283144
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,10.490059542576917,1.6216760504428096,1315191718909461.8,47.377904925501944,0.2283379283958881
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,10.176340071479753,1.8363853259371252,1517684793701706.0,14.458145066083853,0.26654105292738894
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,9.788054786157783,1.9806845501499015,1745458521650386.0,5.78253978068604,0.2988896176016896
1.8281522856063324e+34,2.6273464966772573,2.784976138076656,3.7729258791288274,9.429997665513586,2.052041300456857,2000000000000000.0,2.79757599763392,0.3214152059426482
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,28.351555504229687,1.5698244734291604,300000000000000.0,6360.474595992072,0.08178357877811583
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,28.34770274471232,1.5699724684042569,300247849540749.4,6812.7637642182535,0.08180240523429456
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,28.349327701199478,1.5710156684513519,301982796325995.06,6312.2262459399435,0.08185206854986074
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,28.131048274579896,1.5736966372554695,306691937600233.25,6125.902889267887,0.0826279556533664
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,27.881054968010694,1.5787427003097425,315862370607960.3,5772.002609429881,0.08363615519434196
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,27.540704591428405,1.5864421743620563,330981192593672.56,5320.284179996979,0.08508266934507483
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,26.971333461103345,1.5965786138943363,353535500801866.1,4481.595191504256,0.08743388903163081
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,26.20545202883352,1.608439258320319,385012392477037.44,3684.119065524939,0.09065774581544991
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,25.4853982815327,1.6208934447904835,426898964863682.75,2956.0084555297217,0.0939409500033004
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,24.50326980608941,1.632416422418749,480682315206298.25,1957.225017427141,0.09840084323566146
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,23.57747899401771,1.6432505692050523,547849540749380.4,1617.2770274200936,0.10294335822964414
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,22.292457704026983,1.6548299205355754,629887738737425.2,1148.5594062878301,0.1096446183727929
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,21.031955885258604,1.6670616371440414,728284006414929.2,722.9632364539866,0.11707492879567634
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,19.85591637637703,1.678654006824274,844525441026388.8,493.33180371162786,0.12487145244903694
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,18.581652120395905,1.6877388170735668,980099139816299.6,318.4549470194635,0.13415684024207844
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,16.31984418293864,1.7169935052151521,1136492200029159.0,139.54231051135585,0.155397687398133
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,14.381783012727668,1.8003879461046968,1315191718909461.8,44.19489964410126,0.1849035594650613
4.517028546631933e+34,1.6076788848350219,1.8746171375297176,3.6568314430278566,12.753386031770603,1.8974457812133279,1517684793701706.0,15.111362968572623,0.2197534876504705
